Buena,Mala
0,-2.46884239270175,1.4098890104295991
0,-2.4245608456655625,1.6210578781148173
1,-3.354617683294405,-3.8734735363641843
0,-2.7356045974101533,1.9646801349541314
1,0.7918111697752012,-2.9971104947769356
1,-2.3708102039975305,0.9344590118401181
1,2.9607433128504415,0.05849825619466176
1,-3.2096043777307344,0.49795579021839953
0,-2.354939357440892,1.5114849346315462
0,-2.0451345784821053,1.444819033102879
0,-2.9356937862052614,1.29265614948795
1,1.747044693976394,1.9599487461287057
1,3.426808181700445,2.409986801263677
0,-2.523303708966297,2.0859345082458525
1,-4.038835639450522,2.3765778659629033
1,-4.343228942460202,1.6379047677709817
0,-2.99359238421885,1.547509299915696
0,-2.5406264129332885,1.3406246758796407
1,4.566454373020548,-3.437976963899164
0,-2.940937487683002,1.2775014171200139
1,-2.407233107247623,1.2978231120220647
1,-2.751780058932724,1.3075570623758233
0,-2.3488523715365757,0.883530623325993
1,-2.9277458151389215,1.6853110552794157
0,-2.5934754240766904,1.7004101556593971
0,-2.132445954002708,1.1414954296892486
1,-2.8414820225770754,1.6292062402451517
0,-2.3333269658854032,1.677685748767277
1,3.6473582081739666,-3.2816112063861445
1,-4.070898292622757,-1.4976605565642735
0,-2.4922156776797544,1.6350108283304818
1,-2.0285571202407207,0.6242989878564931
0,-2.5991915315661007,1.1893024438097242
0,-2.060723698243154,1.4205294028183937
1,4.765863220090816,-2.7094875012542614
0,-2.459035316059581,1.3984198413560427
1,0.44667416620929823,-2.5238288983716863
0,-2.974907860532774,1.5711213733768423
1,1.632872655035909,-2.8536471961739336
0,-2.5320595053431614,1.9087383275154053
0,-2.2117092811026233,1.3008622808219652
1,-2.971038780676625,-4.2188991427278015
1,0.7319082863092602,-1.6820121753930155
0,-1.8909679012759975,1.6930970365097853
0,-2.427181449745531,1.0095386614780522
1,-4.795760523650513,2.50941771946723
1,1.998087071803896,-0.13670255700968248
0,-3.0055890314631606,1.270640636633288
1,1.2059369009680931,-3.7285956725352327
0,-2.311986729886559,1.54478374318965
0,-2.8539087484726755,1.1851511640418657
0,-2.5923410067343893,1.2622698519389992
1,-2.684209235476885,-3.856930548544994
0,-1.9852966935642282,1.5459544949187212
1,-1.6874960010585704,2.4063609330662
0,3.0354730663026936,3.1051449729142178
0,-3.014737291517493,1.4886882963328907
0,-2.1273890413210585,1.4862683754907762
1,3.62254950396474,3.005960878730817
0,-2.9534189706897847,1.6454074041737319
1,0.9061488973625853,1.2778019655003585
0,-2.682803206537405,1.4526923352055152
0,-2.412570453546326,1.845421120797266
1,-1.1368279075635552,-1.7806252489007752
1,4.153962880545236,1.4672064172731736
0,-2.519127363693532,1.7970664157541527
0,-2.696442131607029,1.3286766112218686
0,-2.3846706614239634,0.8584042698846015
1,-0.44870606184039763,-0.8221629283239029
0,-2.4330685587847967,2.011965272716522
0,-3.047376842088867,1.483295729151077
0,-2.676265569738947,1.6948185413654646
1,-2.034589215420489,1.62334057781292
1,-2.4140233505419664,1.8976176237962574
0,-2.608532628072694,0.9947136528122273
1,0.877361027531684,0.8671363559759809
1,1.8581024987471872,2.7838037609711694
1,-1.9432559758286938,2.860547155942059
0,-2.7638594775148078,1.4393754597623583
1,-0.5950810842840276,2.966585325403574
0,-2.710584427536199,1.080214455597539
0,-1.8845999411178922,1.5986566043241819
1,2.0669922489684858,0.08796155080527723
1,-3.0927787771923287,1.284574053638723
0,-2.5888943610832955,1.4141271219431586
0,-2.4640253826808323,1.4733341705891698
1,1.8278226897241683,-0.3024030046870646
1,-4.671684403798883,-2.6449599790016585
0,-2.49579552669077,1.12195332804303
1,-3.522592713573473,-2.6131504693779894
0,-2.7515860960730865,1.8716208472689408
1,0.6507450493544792,-0.27534471572932706
0,-3.0331626549110107,1.5694539592684391
1,-2.4013382867087483,1.015927368874664
1,4.009707535223484,-0.3629748230583646
0,-2.120066988255963,1.2391906451384465
0,-2.9493402064743224,1.6366464439563018
1,3.1305961376844986,3.610768494965955
0,-2.162211770977172,1.8491836895320843
1,3.077263639277819,-4.3924900886017815
0,4.940322790942164,-1.1031297543990348
0,-2.7200240956421724,1.4531881291968465
1,4.014993086758309,-4.184200489786081
1,0.8088760126247385,-4.665755327763423
0,-2.9032812765883884,1.38433113456135
0,-2.5503451373290558,1.1197152661665184
1,1.6408982659013893,-2.6914084746623166
0,-2.401755883835956,1.846719495049956
1,-0.34995534515865845,4.641938751768467
0,-2.374734338636621,1.300519746446565
0,-2.2568408435870655,1.4093862489762743
1,-2.639309056448867,-1.6710443120023832
0,-2.819663740724695,1.914299831496979
1,1.1096964707707035,-2.741702364022485
0,-2.8808032183070775,1.647376297019264
0,-2.603118176407971,1.295837618818505
1,-0.4146963234141715,-3.067495286413279
1,-1.3789656210143764,-2.842529074769998
1,-4.826348732177788,3.6891903504527246
0,-2.679670987721135,1.8265362606452638
0,-2.206682656430548,1.0222193642955815
0,-1.931061377289716,1.6024273989150015
1,-4.918521583958883,4.973971958693656
0,-2.7497849256087346,1.3407107983936835
1,0.07048012009350735,-2.0343773822629414
1,3.5198063393209273,2.397791105260745
0,-2.439453733551867,1.838288445957173
1,4.097147847170307,-3.6739873219413925
1,-3.1181748502296514,3.6499200566593566
0,-3.04557036226833,1.4974592276957088
0,-3.1173762733283708,-0.5521866620425042
1,-2.42535371373973,1.0966064522608945
1,0.6011099399430353,-0.7870626637760497
0,-2.245696997178353,1.1067676763324212
1,2.9963901214131927,3.656154682434121
1,3.5790244813740832,-1.4851018725943628
1,-2.2439832381061664,-4.5544262816780465
0,4.888790681022509,-0.34747349919176496
0,-4.947234684016788,-0.3716752021444447
0,-2.7809086155029736,1.6409980044858203
0,-2.169705774351136,1.0793744722618812
1,-2.322434898209023,1.4512066216739123
0,-2.487904335504143,1.368060116498489
1,-3.2951550342828644,3.337703224198561
1,4.571067393755309,4.722707035785806
1,-2.534843120903687,1.3015065613599024
0,-2.8752782232792296,1.4521695373518175
0,-2.6879897371965256,2.171434125878239
1,4.270073771984939,-1.5470141327069542
0,-2.590012052632815,1.2295361330138594
0,-2.76049680640848,1.3577789339415163
0,-2.2659213340982607,1.7263669433366302
0,-2.4479874190306123,1.389450382850986
0,-2.3498893613052503,1.3613536764560847
0,-2.1381683061522825,1.3942553399587183
0,-2.096594170969008,1.2756361797841658
1,-0.7138716598819556,3.902027728434885
1,-4.2922142849436975,0.4295701726159157
1,4.757955084379169,-4.7769503045207715
1,3.385078858022663,-1.7576961522552943
1,3.6461215109758283,1.1152682304838764
1,-2.229111597303625,1.8851536762911627
1,-4.776113675339319,0.9406288629715653
1,-0.1108404767554877,3.894097291161379
0,-3.0258467117841947,1.262071337309202
1,-2.829586050865607,1.7918375422139972
0,-2.5540169308916614,1.1621912232606113
0,-2.12737519791117,1.542232373165544
0,-1.9604205118579383,1.6376896281830486
